uid	pmids
D012173	P2844981|P2404204|P1654745|P1656826|P1848618|P1310572|P1315661|P1323624|P1326012|P1345799|P8393058|P8394858|P8014496|P7733183|P8540847|P9207349|P9262538|P16395727|P20821332|P21176231
D058437	
D000071700	
D056769	
D057135	P19800611|P19934816|P20566180|P20847709|P21057805|P21555967|P21610564|P21640257|P21640258|P21794843|P21872935|P21950702|P20337606|P22014603|P22241923|P22466461|P22555112|P22578446|P22776937
D012163	P1108355|P38704|P574397|P92202|P398445|P6181452|P7034773|P7043868|P7201436|P6192381|P6340512|P6761238|P6084217|P6383049|P2865943|P3910706|P3943741|P3308728|P3538520|P3547300|P3662317|P3061449|P3195646|P3207656|P3213920|P2652029|P2662100|P2695877|P2750831|P1963127|P2193849|P1651213|P1891222|P2023732|P2052306|P1371225|P1407968|P1495798|P1596224|P1596225|P7934683|P8112969|P8249589|P8250086|P8460273|P8470962|P8470963|P7829176|P7970548|P8002836|P8015776|P8034208|P8115726|P8115730|P7547781|P7786219|P7817029|P8574979|P8600888|P8602778|P8602779|P8618758|P8641826|P8684799|P8790093|P8858355|P8990654|P8743976|P9076205|P9112194|P9113011|P9222234|P9268994|P9290370|P9307639|P9387180|P9547774|P9640195|P10502583|P10950411|P11012492|P11115260|P11158812|P11425671|P11483076|P11530046|P11585312|P11733267|P12055461|P12148300|P12213159|P12441726|P12701865|P12756578|P12768907|P12867686|P12967798|P14510790|P14516427|P14574247|P14634942|P14662586|P14745677|P14746594|P15136318|P15307713|P15579984|P15582080|P15689804|P15948779|P15961159|P16085942|P16340523|P16401781|P16551903|P16888407|P17297830|P17218919|P17219106|P17270679|P17355251|P17398320|P17408389|P17445898|P17542347|P17846353|P17926113|P18043171|P18054633|P18185145|P18207120|P18431588|P18494727|P18584876|P18599016|P18782804|P19032906|P19092728|P19169319|P19208678|P19375168|P19516120|P19696703|P20108194|P19924670|P19952998|P20039868|P20424852|P20491044|P20570360|P20935692|P20937993|P20970011|P21149772|P19909291|P20102350|P20890243|P21124256|P21156702|P21305315|P21320959|P21325394|P21386767|P21470388|P21546512|P21878847|P22270216
D012162	P1704212|P11480793|P18201138|P20182883|P20691418|P20847757
D012167	P1495798|P7993207|P8008347|P8115729|P7547781|P7611316|P9098283|P8644802|P8644803|P8990654|P8912962|P9006420|P9307639|P9355191|P9544645|P10328392|P10380022|P10761291|P10811074|P11133873|P11159479|P11730653|P11733267|P12133372|P12153804|P12487895|P12756578|P12888042|P14516427|P14707844|P14769600|P15136318|P15249363|P16085942|P16194181|P16715252|P16892644|P17202200|P17218919|P17270679|P17353402|P18191090|P18440484|P18494727|P18703552|P18782804|P19028741|P19032906|P19375168|P19578018|P19912135|P19692379|P19713199|P19823863|P19952998|P20138368|P20541263|P20570360|P20616687|P20970011|P20890243|P21035869|P21051731|P21124256|P21386767|P21470388|P21872935|P21878847|P21900224|P21941361|P21941363|P22422031|P22656892|P22727286
D012166	P323086|P345173|P353623|P572699|P6163165|P6184769|P3900847|P3906248|P3547300|P3046587|P1870835|P1872141|P1923198|P2023749|P2062513|P2062515|P8336878|P8469455|P7493231|P7547781|P7826294|P10485548|P11318837|P12140400|P17543874|P18692244|P19516117|P20683380|P21379571|P21440942|P22362228
D012164	P333921|P647693|P508687|P7437393|P6752553|P6752799|P6752800|P6192381|P6340512|P6341914|P6682293|P6761238|P6084217|P6365157|P6383055|P6385648|P3900846|P3906246|P3966997|P6533162|P2417579|P3516925|P3531957|P3531958|P2440601|P3195646|P2662099|P2733993|P2793316|P3066728|P2700991|P1651213|P1714270|P1791685|P2003796|P2052309|P2062489|P2062513|P2062514|P2062515|P2070884|P2071350|P3155089|P1428550|P1497522|P1596224|P1596225|P7688950|P8221370|P8238214|P8352687|P8470962|P8470963|P7506400|P8002836|P8034208|P8110697|P8115726|P8287998|P7605283|P7754246|P7872876|P8646573|P9097772|P9097788|P9098292|P8639079|P8888844|P9269005|P9352280|P10530967|P9541437|P9559735|P9591958|P9673474|P9686856|P10030553|P10544403|P10548458|P10577530|P11835848|P10726795|P10764853|P10859510|P10889118|P11351356|P11927854|P12073055|P12556375|P12652225|P12842676|P14510798|P14641261|P15068431|P15234276|P15259296|P15288990|P15480108|P15516262|P15715573|P15767472|P15785924|P15808246|P16467677|P16856623|P16935343|P17273677|P17202200|P17524772|P17659971|P17932854|P17963111|P18054632|P18201138|P18538401|P18622251|P18779478|P18849625|P18997085|P19118701|P19253247|P19528363|P19734766|P19934822|P20097429|P20512062|P21172477|P21309844|P21358360|P21874629|P22395893|P22424576|P22466467|P22562298|P22656891
D015792	
D000793	P20678799
D018630	P7786219|P8751095|P9098292|P8600888|P8684799|P8858355|P9076205|P9112194|P9780100|P9796890|P10574493|P11425671|P12213159|P12701865|P12967798|P15582080|P16876497|P17218919|P17408389|P17846353|P18431588|P18584876|P18599016|P20046687|P20182883|P20424852|P20558423|P21325394|P21470388|P22270216
D057826	
D031300	P16564798|P18502614|P20704622|P21301382
D058456	
D008269	P6366345|P6366346|P6634077|P6463852|P6476044|P3876532|P3883964|P3991126|P4030486|P2874782|P3531958|P3763140|P3960476|P3550043|P3551617|P2447027|P3075600|P3369996|P3692708|P2589059|P2614709|P2664631|P2666532|P2750831|P2793316|P2803090|P10148944|P2099780|P2234840|P2243674|P2640224|P2696710|P1951587|P1961650|P2062510|P2062511|P2062512|P2062516|P1603539|P7508322|P8155034|P8221370|P8341503|P8374234|P8411891|P8484655|P8152764|P7533959|P7722910|P7722912|P8684794|P8981711|P9113011|P9196934|P9230827|P9279674|P9307638|P9368162|P9795848|P9865617|P10485531|P10571339|P10604663|P9930158|P10647713|P10698027|P10711881|P10896341|P10896360|P10950411|P10990051|P11054327|P11231772|P11489571|P15487693|P11874767|P12201348|P12608650|P12888045|P12928692|P14660460|P14709300|P14985312|P15019365|P15059707|P15180141|P15317700|P15317711|P15522370|P15615752|P15710814|P15860282|P15885789|P15953425|P16019075|P16023067|P16024853|P16039491|P16083539|P16154196|P16186372|P16186374|P16193688|P16226521|P16329060|P16786177|P16052254|P16386999|P16453184|P16564798|P16626425|P16631060|P16682586|P16723360|P16764647|P16769613|P16808682|P16828501|P16931258|P16952097|P16965492|P16978576|P16989901|P16996596|P17061223|P17152553|P16973659|P17024220|P17093998|P17123615|P17186261|P17218915|P17353400|P17353401|P17405800|P17420366|P17459479|P17466852|P17483861|P17544778|P17592240|P17653751|P17662438|P17698196|P17988727|P17988728|P18001246|P18046223|P18055815|P17589809|P17917738|P17965109|P18165082|P18165083|P18185135|P18185146|P18316700|P18327133|P18362932|P18420749|P18425522|P18439560|P18463518|P18499007|P18499009|P18536598|P18556425|P18599019|P18599569|P18628722|P18662829|P18675697|P18698292|P18708258|P18988166|P19065416|P19108019|P18682969|P18708615|P18785964|P18827732|P18929352|P19054496|P19054831|P19092728|P19167078|P19174717|P19174719|P19183412|P19218250|P19262008|P19262436|P19264215|P19268890|P19273785|P19287286|P19357559|P19365011|P19373126|P19373128|P19376452|P19376585|P19376589|P19466682|P19481812|P19551680|P19568355|P19619896|P19650710|P19674727|P19700194|P19702711|P19752419|P19752420|P19794940|P19796823|P19817721|P19882577|P19901211|P19916788|P20008708|P20049663|P19229275|P19725815|P19875087|P19924670|P20019369|P20038863|P20057344|P20061906|P20089952|P20122739|P20128566|P20168272|P20175270|P20182403|P20202684|P20212194|P20212197|P20212201|P20307215|P20346835|P20381871|P20384591|P20398941|P20413522|P20416952|P20417567|P20427088|P20431612|P20464787|P20494761|P20528977|P20591399|P20616686|P20630595|P20656163|P20706173|P20735289|P20837797|P20838357|P20855114|P20858114|P20970010|P20980427|P21305729|P20853269|P20926135|P20948459|P21232801|P21243370|P21293319|P21314440|P21320959|P21337043|P21345996|P21362332|P21389739|P21394052|P21451442|P21459214|P21459215|P21459216|P21529957|P21546089|P21612513|P21684606|P21715011|P21764136|P21765371|P21813090|P21840602|P21855758|P21855759|P21861971|P21861972|P21862954|P21886189|P21896838|P21983248|P22053565|P22183994|P20015098|P21811051|P21853229|P21926942|P21997197|P22082694|P22101497|P22111945|P22115710|P22132722|P22159173|P22234244|P22301066|P22330964|P22343992|P22361318|P22424833|P22440275|P22538219|P22735801
D057092	P19850347|P20381870|P20574018|P20102350|P20801521|P22039251|P22240359
D007625	
D003930	P1064238|P1090475|P1096626|P1096628|P1148732|P53599|P1269844|P797067|P322791|P323086|P323093|P326306|P336079|P285502|P345173|P353623|P310054|P398601|P530565|P572699|P6153904|P7387963|P7447772|P7195893|P7196564|P6119509|P6175340|P6181452|P6285503|P6761186|P7044655|P7044656|P7049782|P6130243|P6134210|P6192562|P6357901|P6440313|P6683566|P6814984|P6201409|P6324526|P6369216|P6377076|P6382103|P6385649|P6394209|P6734921|P6743640|P2865943|P2866759|P2931063|P3883968|P3894128|P3894129|P3904464|P3906246|P3906248|P3919804|P3920861|P3926567|P3965024|P4011126|P4018423|P4024018|P4036563|P4039698|P4075944|P2869996|P3083211|P3096429|P3514333|P3519046|P3763140|P3914805|P2438841|P2882967|P3300085|P3300140|P3300174|P3303785|P3308731|P3549595|P3550043|P3552537|P3555429|P3596907|P3619742|P2447027|P2451871|P2459641|P2465517|P2466855|P2898025|P2974776|P3046587|P3048052|P3050220|P3052571|P3067179|P3067950|P3147895|P3168726|P3414321|P3416710|P3692708|P2476366|P2491075|P2647064|P2647556|P2652029|P2671247|P2685709|P2695874|P2912911|P3072365|P10148944|P1963130|P2119168|P2132407|P2187006|P2192550|P2193849|P2196036|P2197845|P2201495|P2204779|P2234817|P2234818|P2244843|P2254723|P2270529|P2361594|P2700991|P1773148|P1823530|P1841669|P1857482|P1865159|P1870835|P1954210|P1961649|P1961650|P1984187|P2004725|P2008268|P2017326|P2062510|P2062511|P2062512|P2062513|P2062514|P2062515|P2062516|P2095020|P2265765|P2282940|P1407968|P1454350|P1488874|P1507375|P1543449|P1579337|P1611137|P1734985|P1790735|P1306479|P8147960|P8155035|P8170559|P8224951|P8233391|P8239321|P8287162|P8314425|P8331860|P8339946|P8362641|P8366922|P8390768|P8432221|P8434544|P8455366|P8462386|P8484655|P10137725|P7747571|P7845951|P7956631|P8040759|P8061070|P8309674|P8311760|P7564132|P7571745|P7580637|P7587846|P7587918|P7598463|P7624600|P7630622|P7648810|P7711992|P7724182|P7734138|P7734740|P7781842|P7796786|P7826293|P7826294|P7851219|P7872388|P8646573|P8751095|P8545570|P8703857|P8703882|P8790092|P8792361|P8826962|P8877260|P8886552|P8908388|P8941467|P8960830|P8960857|P9092418|P9251266|P8887920|P8981708|P8981711|P9069587|P9075807|P9096993|P9131280|P9230827|P9307638|P9385883|P9413466|P9652560|P9427226|P9433426|P9477980|P9514482|P9539998|P9545127|P9562345|P9609365|P9682700|P9686856|P9699090|P9732337|P9732338|P9794557|P9796890|P9881243|P10030326|P10030553|P10051804|P10189536|P10332676|P10361873|P10399205|P10406153|P10439688|P10445774|P10447523|P10480765|P10519582|P10526722|P10546028|P10546931|P10571339|P10577530|P10589324|P10604663|P10647713|P10655186|P10802159|P10818026|P10857943|P10860187|P10860192|P10937502|P10948785|P11023622|P11092294|P11349506|P11789184|P11167284|P11182215|P11226788|P11237912|P11318837|P11351356|P11358679|P11437859|P11440277|P11472451|P11473066|P11566520|P11572892|P15487693|P11849464|P11874767|P11879715|P12020338|P12027926|P12153550|P12201348|P12213353|P12234887|P12358867|P12584669|P12757090|P12766095|P12780397|P12859696|P12882889|P13129862|P14516806|P14583175|P14655264|P14762410|P14977771|P14985312|P15019365|P15043527|P15059707|P15089787|P15205238|P15234290|P15317711|P15364166|P15452093|P15522370|P15534123|P15569141|P15629023|P15871360|P15272291|P15735198|P15787665|P15821920|P15825531|P15860282|P15885789|P15889546|P15965168|P15983221|P16019075|P16023067|P16024853|P16024862|P16043738|P16088848|P16120036|P16154196|P16186278|P16186372|P16186374|P16226521|P16306539|P16329060|P16786177|P16021194|P16052254|P16294204|P16384948|P16421186|P16445258|P16453184|P16682585|P16682586|P16763797|P16769613|P16801566|P16808682|P16828501|P16857508|P16876497|P16952097|P16965492|P16978576|P16989901|P16996597|P17061223|P17152553|P17161769|P17238814|P17310422|P17313001|P16973659|P16973667|P17030155|P17093998|P17123615|P17275908|P17276718|P17317400|P17353401|P17405800|P17420366|P17459479|P17479440|P17544778|P17592240|P17599420|P17621415|P17653751|P17698196|P17699475|P17882397|P17988727|P17988728|P18046223|P18047883|P17535505|P17589809|P17645554|P17914031|P17917738|P17965109|P17992197|P17995982|P18184902|P18185135|P18223010|P18267994|P18286296|P18312805|P18316700|P18320520|P18327133|P18420749|P18431588|P18463518|P18499009|P18536598|P18599569|P18628722|P18644069|P18662829|P18698292|P18758747|P18823656|P18823658|P18988166|P19064853|P19075083|P19108019|P18682969|P18708615|P18758684|P18785964|P18848480|P18929352|P18989348|P18992161|P19054831|P19101420|P19167143|P19174719|P19208678|P19218250|P19262436|P19264215|P19273785|P19287286|P19357559|P19362455|P19373126|P19376452|P19376585|P19376588|P19376589|P19487639|P19516117|P19526210|P19551680|P19568355|P19571282|P19609501|P19633827|P19644802|P19650710|P19692371|P19696704|P19699531|P19700194|P19702711|P19787608|P19794940|P19796823|P19802544|P19817721|P19916788|P20008708|P20046687|P19660392|P19725815|P19779730|P20019369|P20038863|P20042648|P20044537|P20057344|P20122739|P20128566|P20135139|P20168272|P20182403|P20189608|P20202684|P20212194|P20212197|P20212201|P20216293|P20334583|P20357376|P20385940|P20413522|P20416952|P20427088|P20431612|P20457972|P20462091|P20464787|P20481041|P20491044|P20494761|P20558423|P20570360|P20587587|P20594588|P20606024|P20661939|P20706173|P20838357|P20855114|P20970010|P20980427|P21305729|P21661164|P21661165|P20346089|P20720438|P20809912|P20853269|P20947171|P20948459|P21067893|P21183519|P21218388|P21225239|P21232801|P21243370|P21309844|P21314440|P21345996|P21362332|P21364149|P21386766|P21389739|P21394052|P21403038|P21423068|P21447686|P21451442|P21459214|P21459215|P21459216|P21478808|P21499192|P21529957|P21546089|P21612513|P21630126|P21647703|P21670338|P21715517|P21724263|P21765371|P21813090|P21816255|P21818132|P21861972|P21862954|P21896838|P21918206|P21983248|P22053565|P20015098|P21786271|P21811051|P21853229|P21997197|P22009219|P22044044|P22082694|P22111945|P22115710|P22132722|P22159173|P22166848|P22232563|P22234244|P22330964|P22332211|P22340561|P22362228|P22457045|P22511260|P22538219|P22620493|P22727992
D008268	P1096626|P341965|P7413152|P7033865|P6184070|P7046707|P7201436|P6191812|P6206124|P3890666|P2423061|P2947098|P2440601|P3277606|P2694046|P1693496|P1693497|P1963130|P2204779|P2480626|P1718250|P1718251|P1718252|P1718253|P2043065|P2282940|P1376721|P7679269|P7689826|P7689827|P7691775|P8352298|P8371932|P7512334|P7512335|P7522004|P8311760|P7488578|P7532395|P7661204|P7781842|P7899712|P8602776|P8639079|P8641826|P8703882|P8751336|P8825016|P8825017|P8908439|P8925479|P8953976|P9076206|P9143888|P9194725|P9230826|P9355184|P9373115|P9442774|P9445205|P9559492|P9602314|P9639442|P9709744|P9823353|P9828635|P9857636|P9924306|P10067908|P10326966|P10334351|P10372878|P10406624|P10442900|P10448637|P10487973|P10487974|P10532441|P10571341|P10588299|P10599652|P10637807|P10641899|P10606453|P10691066|P10721440|P10730228|P10801969|P10872928|P11024412|P11024413|P11078841|P11097601|P11262673|P11039423|P11176977|P11176980|P11220039|P11336929|P11354297|P11405833|P11483080|P11545630|P11581068|P11594942|P11755871|P11860971|P11879715|P11915378|P11925463|P11931786|P11962062|P11992864|P12058521|P12073055|P12098721|P12149056|P12221538|P12227275|P12244891|P12365909|P12383815|P12399736|P12427056|P12427060|P12441717|P12470761|P12476093|P12518724|P12545682|P12578787|P12583787|P12617709|P12652226|P12678277|P12695250|P12742844|P12750100|P12757090|P12770975|P12824829|P12854503|P12855972|P12867383|P12910199|P12917169|P13680248|P14510790|P14644721|P14655264|P14707831|P14871913|P14977771|P14985215|P15006845|P15117055|P15121371|P15136320|P15213039|P15228505|P15234130|P15234287|P15309484|P15489491|P15496045|P15522362|P15522363|P15522364|P15522365|P15531318|P15548814|P15573840|P15590583|P15625332|P15290154|P15629834|P15636216|P15642811|P15662502|P15799724|P15799725|P15805900|P15808240|P15808245|P15824216|P15947501|P15965168|P15981488|P16001382|P16024863|P16029263|P16080909|P16087836|P16138974|P16157822|P16205558|P16225928|P16298922|P16294204|P16309554|P16368146|P16458680|P16483659|P16527229|P16530757|P16538452|P16565362|P16581422|P16581423|P16597662|P16647134|P16704693|P16828500|P16876249|P16877271|P16893569|P16898386|P16935343|P16963850|P16996600|P17021318|P17021319|P17038074|P17074563|P17101999|P17122107|P17122108|P17122137|P17157802|P17199237|P17219106|P17268417|P17270674|P17317391|P17324285|P17339482|P17347809|P17353403|P17419956|P17435527|P17471343|P17478338|P17509689|P17544776|P17564719|P17621177|P17628683|P17679633|P17698761|P17700333|P17724493|P17822977|P17923538|P17923543|P17949673|P17998507|P18036873|P18046226|P18054638|P18225515|P19263563|P17574675|P17585313|P17674020|P17716735|P17852958|P17976724|P18071731|P18166408|P18179676|P18222192|P18303156|P18320254|P18321465|P18344178|P18356266|P18423869|P18432491|P18469279|P18486222|P18502512|P18515689|P18566455|P18586901|P18600492|P18614570|P18672295|P18702350|P18852414|P18982929|P19085384|P18937820|P18997640|P19029035|P19091420|P19118696|P19118805|P19139332|P19169239|P19173165|P19214552|P19218618|P19237716|P19255158|P19287288|P19363239|P19373128|P19396541|P19406737|P19408858|P19516120|P19543808|P19554672|P19628740|P19629514|P19643495|P19700198|P19702706|P19743542|P19748675|P19752423|P19752426|P19815293|P19850347|P19948275|P19948277|P19948278|P19954479|P20008710|P19478822|P19503764|P19520690|P19952998|P19965822|P20007824|P20153900|P20163368|P20189654|P20223672|P20378094|P20381870|P20538634|P20554607|P20557937|P20577273|P20597872|P20598667|P20606776|P20683380|P20688744|P20827138|P20885427|P20924261|P21677121|P19860783|P20015100|P20102350|P20610478|P20714991|P20801521|P20890244|P20920825|P20974293|P21102369|P21146229|P21168822|P21169874|P21183519|P21232078|P21272283|P21293163|P21310910|P21320967|P21355157|P21376243|P21401909|P21402976|P21421873|P21444807|P21526923|P21586838|P21670337|P21684602|P21746979|P21873668|P21951567|P22027699|P22073385|P22108107|P21519291|P21822162|P21862953|P21985296|P22009916|P22037055|P22082694|P22281826|P22306121|P22313522|P22424834|P22444829|P22589439|P22648253|P22678104
D015593	P2062513|P7679269|P7488578|P7899712|P8908439|P9111254|P9355184|P9442774|P9924306|P10372878|P10406624|P10487973|P10571341|P11097601|P11405833|P11860971|P12383815|P12545682|P12750100|P12824829|P12855972|P16458680|P16527229|P16581422|P17074563|P18502512|P19085384|P18937820|P18997640|P19629514|P19752423|P20007824|P20102350|P20801521|P21169874|P22240359
D012178	P7029275|P6122890|P6897109|P7041039|P6379136|P6546416|P3840245|P3885152|P3900846|P3900847|P2878174|P3547300|P3575019|P3627711|P3673751|P2459655|P2895630|P2895910|P3052613|P2498657|P2654350|P2191890|P2199084|P2209380|P2209383|P2222274|P2405827|P1645640|P1645641|P1800923|P1919822|P1929909|P2023732|P2062488|P1390510|P1432499|P1463410|P1497522|P1560798|P1565444|P1580837|P1808822|P8129324|P8235104|P8326353|P8352687|P8419599|P8437833|P8447743|P8489440|P7807300|P7931953|P7943128|P8002243|P8014788|P8031269|P8311759|P7488817|P7552592|P7710397|P7742708|P7745506|P7745507|P7745508|P7745509|P7745510|P7745511|P7745512|P7745513|P7745514|P7890499|P8573016|P8602778|P8602779|P8618758|P8645387|P8695563|P8790093|P8841302|P8933763|P8949694|P8951252|P9083952|P9152127|P9175946|P9338672|P9373099|P9447532|P9514486|P9603794|P9747678|P9754167|P9754168|P10071153|P10340968|P10342548|P10359339|P10469778|P10505830|P9932999|P9950610|P10654946|P10690834|P10714690|P10773803|P10779265|P10815156|P10865315|P10879804|P10951298|P10968244|P11061766|P11124916|P11158812|P11430325|P11438057|P11483076|P11483077|P11483078|P11865270|P11986099|P11986101|P11997800|P14662586|P14662587|P14662598|P15157731|P15180835|P15534127|P15616486|P15343351|P15655442|P15747762|P15767472|P15797982|P15814220|P15855243|P15930233|P15977870|P16023214|P16401781|P16428355|P16547078|P16769828|P16914473|P16946677|P17306999|P17606555|P17989382|P17989696|P18207120|P18285374|P18423871|P18450869|P18534218|P18676556|P19028742|P19091409|P20214047|P19815939|P20022589|P20237484|P20385926|P20412107|P20472937|P20472939|P20736125|P20876596|P21087499|P21194006|P21211840|P21309874|P21320954|P21321036|P21323540|P21350289|P21397805|P21592510|P21746974|P21872933|P21942614|P22153396|P21835837|P22003960|P22284923|P22371462|P22679695|P22696845
D058499	
D019572	P19190547|P21320950
D015356	P7508322|P8944542|P10990051|P11865833|P15300074|P16226521|P16372192|P16998653|P20609991|P20821332|P21205247|P21757667
D012170	P3777545|P2632113|P2690927|P3066729|P1698170|P2640224|P1710591|P1889771|P1635361|P7688950|P8109212|P8334911|P7506400|P7943118|P8119599|P7533959|P8575610|P9097788|P9097789|P8600406|P8600407|P8600408|P8913124|P8913125|P9109757|P9475033|P9613383|P10654172|P10567867|P10893069|P10896341|P10896360|P12206008|P11196123|P11865834|P12400431|P15923527|P15953425|P16226521|P16416154|P16738858|P16996596|P17218915|P17396687|P17483861|P18001246|P18185145|P18219348|P18362932|P18425522|P18556425|P18588374|P18708258|P18759522|P18682969|P19167078|P19174717|P19344824|P19365011|P19373128|P19466682|P19584651|P19619896|P19674727|P19696704|P19734765|P19752419|P19752420|P19901211|P19912734|P20049663|P19477488|P19875087|P20031222|P20163872|P20307032|P20381871|P20398941|P20417567|P20591399|P20630595|P20837797|P20858114|P20926135|P20953877|P21293319|P21337043|P21440942|P21684606|P21715011|P21764136|P22082694|P22101497|P22139613|P22301066|P22361318|P22424833|P22440275
D015882	P14745677
D012174	P3332681|P2803090|P1454349|P1794814|P8155034|P8240094|P8240095|P8512476|P8152764|P9196934|P9865617|P10197566|P10399203|P10487973|P10523963|P10710240|P12322788|P12608650|P12543751|P12963609|P15059710|P15364708|P15364709|P16759390|P17674017|P18185146|P18201138|P20385935|P20948238|P21467183|P22110084
D012175	P9097772|P21320950
D055955	
D056833	P20136418|P20532141|P20554506|P21245962|P21742303|P21836413|P21878843
D015861	P1698170|P2193849|P2204779|P2234818|P2003796|P1315662|P8224951|P8233391|P8352298|P8371932|P7506400|P10873990|P16682585|P16856623|P16963850|P17564719|P18225515|P18207120|P18286296|P18320518|P18320520|P19516117|P19692371|P20457972|P21293163|P21440942|P22466469
D057130	
D019773	P10811074|P10950411|P12153804|P12487895|P12888042|P12888045|P14769600|P15234276|P16085942|P16294204|P16935609|P16952097|P16705448|P17093998|P17186261|P17202200|P17353402|P17483861|P18191090|P18695630|P18703552|P19028741|P19054492|P19696703|P19912135|P19692379|P19713199|P19823863|P21035869|P21051731|P21724047|P21886189|P21765374|P22422031|P22656892
D002825	P2851877|P2695556|P8470726|P8684787|P9296037|P12095806|P16171866|P22534709
D041441	P21914263
D052245	
D017726	P8312826|P7993207|P8011248|P8035989|P8067763|P8141577|P11362288|P11362289|P11362603|P11362728|P11362779|P11362926|P11363028|P7637721|P7639972|P7658051|P7712668|P7733183|P7802522|P7872356|P7875151|P8548191|P11363844|P8540847|P8660161|P8660168|P8660169|P8721550|P8829030|P8940670|P9110064|P9110065|P9110067|P11364833|P9030380|P9036797|P9036798|P9164318|P9211677|P9222234|P9272411|P9366668|P9400786|P11361898|P9525435|P10037565|P10194235|P10234599|P10980764|P10983644|P11168085|P11292409|P11305288|P11740736|P11744430|P11753827|P11919489|P11931780|P11931781|P11931782|P11948271|P12520627|P12523893|P14745677|P14767813|P15076943|P15498605